customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3531-ELLQL,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.82,74.01,Yes
1100-JTRTY,Male,0,No,Yes,36,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,92.12,3362.64,No
4994-PFJPM,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,117.4,355.74,Yes
8742-SZMBD,Female,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,40.21,479.83,No
3828-AJWVZ,Female,0,No,No,24,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.66,1709.22,No
7411-GXOWW,Female,0,Yes,No,18,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),81.81,1495.66,No
5906-JUOGP,Male,1,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.67,1074.84,No
4313-BCVSQ,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),83.78,1291.24,No
5952-FYNMY,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,99.26,2199.28,No
6328-XOHDY,Male,0,Yes,Yes,10,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),119.25,1201.36,Yes
2036-QPRES,Female,0,Yes,No,41,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),77.73,3188.42,No
3158-UCQSD,Male,0,No,No,28,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,77.14,2202.53,No
6399-IXNMC,Male,0,No,No,36,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,87.47,3171.39,No
2730-RCMVL,Male,0,No,No,25,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,55.83,1395.26,No
5966-YOASD,Female,0,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.51,929.77,No
3556-UZWDE,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.24,524.01,No
5941-NFEMB,Male,0,No,No,27,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,91.84,2468.85,Yes
9679-GTPDZ,Male,1,No,No,72,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,70.13,5020.51,No
1747-RCINI,Female,1,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),107.74,990.7,Yes
6648-COJKG,Male,1,No,No,56,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.61,4221.0,No
7196-TZKTK,Male,1,No,No,72,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.91,6529.26,No
6647-WXKEO,Male,0,No,No,38,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.88,2387.59,No
3029-RXZTZ,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,110.3,111.69,Yes
5800-HWXNZ,Female,0,No,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,102.47,906.46,No
8432-RUYWH,Female,0,Yes,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,111.51,3696.11,Yes
7059-OTDZD,Male,0,No,Yes,26,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.81,2409.37,No
5896-CIXZN,Male,1,No,Yes,72,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,104.61,7518.51,Yes
5118-NURRW,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,76.04,5474.48,No
9459-NHEBX,Female,0,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),37.39,873.81,No
4486-NKWFX,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),101.13,2629.77,No
4846-KNSYJ,Male,0,Yes,No,17,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Mailed check,78.3,1327.7,No
7681-EXQLT,Male,0,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,108.63,4031.71,Yes
5222-OXWTT,Female,0,Yes,No,12,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,100.34,1207.59,No
7960-QMVVN,Female,0,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,34.66,795.32,No
3795-EMVOJ,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,81.46,1069.18,Yes
9051-WHCUK,Female,1,No,No,31,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),70.43,2176.72,Yes
9499-JNJVF,Female,0,No,No,54,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,105.8,5706.3,Yes
7868-OHWGW,Male,0,Yes,No,7,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,83.01,593.08,No
7854-QVSEV,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),85.59,1902.26,No
1325-IWLEP,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,95.37,6270.11,Yes
8894-LKYNK,Male,0,No,No,72,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,78.75,5682.93,No
8601-YWHSO,Female,1,No,No,17,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),80.66,1366.17,No
7080-VLGGI,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,47.03,614.66,Yes
5325-VFHNB,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),82.05,109.73,No
5560-AUICY,Female,0,No,No,58,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,95.81,5542.57,No
7316-UEYZZ,Male,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.72,2085.78,No
5748-ZTNOJ,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,35.99,992.71,No
8886-NTQJN,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),38.56,2785.91,No
9088-NILVL,Female,1,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,36.74,967.15,No
3356-ZGLAU,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),104.65,6199.11,No
4774-JFIWY,Female,0,No,No,18,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),73.13,1309.95,Yes
3466-RSIPC,Female,0,Yes,No,21,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,72.45,1546.02,No
3163-ZYLIE,Male,0,No,No,32,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,89.64,2863.33,No
9891-HNHNM,Female,1,No,No,13,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,93.1,1184.25,No
8207-FPYRR,Male,0,No,Yes,48,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),100.06,4793.34,No
8330-OBEXY,Female,0,No,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,98.1,2851.75,Yes
4030-BOEPW,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.88,221.68,No
6377-IXVXE,Male,0,Yes,Yes,60,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,69.88,4173.37,No
3573-UJHHI,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.79,563.19,No
9020-AZNMW,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.07,591.89,No
9495-XXNBZ,Male,0,No,Yes,21,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,108.49,2270.47,Yes
1773-DWYDK,Male,0,No,No,38,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),51.15,1958.03,No
9007-XUXXM,Male,0,No,Yes,34,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,73.39,2474.7,No
1515-UFQDV,Male,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),97.55,7002.68,No
4136-CXPGW,Male,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.82,1382.98,No
4306-KWOXE,Female,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,118.76,699.35,Yes
9863-OUVGN,Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),39.46,396.23,Yes
2847-LOZDX,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.76,469.61,Yes
8281-ZGXAS,Female,0,No,No,6,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.34,402.46,Yes
7229-EZPFG,Female,0,No,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,101.08,1928.83,No
4778-DTZKZ,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.19,2402.12,No
4661-EAHEM,Female,1,Yes,No,29,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),79.54,2305.59,No
1456-YFSVF,Female,0,Yes,Yes,39,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),83.79,3299.96,No
5805-KDIKN,Female,0,No,No,48,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),108.45,5197.5,No
4786-VQFCP,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,113.06,6770.21,No
9991-OULLV,Female,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.63,1456.16,Yes
4084-HNQPM,Male,0,No,Yes,55,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,99.36,5467.08,No
9270-MXOXL,Female,0,No,No,50,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,113.75,5661.79,Yes
1281-GYCHG,Female,0,No,Yes,19,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.25,1392.54,Yes
1774-SRVQG,Male,0,No,No,13,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,89.0,1126.11,No
9430-DQBBB,Female,1,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,120.0,2778.03,No
2611-QUFQI,Male,0,Yes,No,72,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,83.9,6108.23,Yes
2010-GVAUJ,Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,90.45,5460.84,No
9447-KNKMP,Male,1,Yes,No,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),103.55,1992.51,No
3883-ISHXO,Female,1,No,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),38.24,2119.06,No
2114-SEQKN,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),47.96,2080.38,No
5685-KGQCM,Male,0,No,No,38,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),80.82,3062.53,Yes
3746-VIZFA,Male,0,No,No,69,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.26,4038.42,Yes
1305-JOQVA,Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),118.81,4056.96,No
1444-HGTNG,Female,0,No,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,95.88,2677.27,Yes
9414-MYIBY,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Bank transfer (automatic),88.49,241.7,No
4118-UBDNN,Male,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.59,1557.87,No
1332-TPQVE,Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),99.33,1180.58,No
9171-VCSYC,Male,0,No,No,11,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.28,254.56,No
8293-TCWCN,Female,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,106.63,3006.33,No
8437-FLKME,Male,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),38.12,379.18,Yes
6447-CTOMF,Female,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.7,1305.53,No
9954-XWQCN,Male,1,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,120.0,3715.46,No
5038-OBKIV,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,118.0,3439.32,No
2108-YDDLR,Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.17,782.43,No
2963-NFWEN,Male,0,Yes,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.86,1782.43,No
8418-BCOHJ,Female,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.59,1643.82,No
9294-KIRCC,Female,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,107.37,3730.78,No
9940-EEGJW,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,88.25,1128.41,No
1176-DBJBO,Female,0,No,Yes,25,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,101.32,2518.98,Yes
8252-FPWPC,Female,0,No,No,13,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,80.9,1063.01,Yes
9137-NSUTH,Male,0,No,No,25,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),83.25,2074.21,No
6892-JHCMX,Male,0,No,No,15,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),76.02,1169.4,No
8283-XCBFF,Male,0,No,No,24,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,73.49,1776.55,No
2822-LGOKR,Female,1,No,Yes,25,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,78.16,1992.74,Yes
1478-CXJPJ,Male,0,Yes,No,24,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.41,2654.09,Yes
6254-QIIWC,Male,0,No,Yes,47,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),76.12,3603.52,No
2254-JHSDF,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,36.59,1441.74,No
3491-BPIUF,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,44.55,354.59,No
2542-PVLOS,Male,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,93.55,2085.01,No
8132-OBXUK,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Electronic check,98.03,2855.85,Yes
